method	quality	guarantee	nb_patterns	crispiness	timespent	timeInitialize
CbO	0.23972619322909572	-1	586349	0.0	6.676080226898193	0.09853792190551758
RefineAndMine	0.22518178350419693	0.8180628272251309	57	1.0	0.013705015182495117	0.09853792190551758
RefineAndMine	0.22518178350419693	0.8089005235602095	80	1.0	0.0187070369720459	0.09853792190551758
RefineAndMine	0.22518178350419693	0.695749062671086	117	1.0	0.023854970932006836	0.09853792190551758
RefineAndMine	0.22518178350419693	0.6798940230334869	155	1.0	0.029217004776000977	0.09853792190551758
RefineAndMine	0.22860276227915693	0.6792430315499872	208	1.0	0.035099029541015625	0.09853792190551758
RefineAndMine	0.22860276227915693	0.6256378975371522	268	1.0	0.04094195365905762	0.09853792190551758
RefineAndMine	0.22860276227915693	0.6154453720558385	328	1.0	0.04648399353027344	0.09853792190551758
RefineAndMine	0.22860276227915693	0.5962041884816754	417	1.0	0.0529332160949707	0.09853792190551758
RefineAndMine	0.22860276227915693	0.5962041884816754	510	1.0	0.06032228469848633	0.09853792190551758
RefineAndMine	0.22860276227915693	0.48384231726286125	600	1.0	0.06839919090270996	0.09853792190551758
RefineAndMine	0.22860276227915693	0.46798727762526215	710	1.0	0.07509708404541016	0.09853792190551758
RefineAndMine	0.22860276227915693	0.46798727762526215	859	1.0	0.08374810218811035	0.09853792190551758
RefineAndMine	0.22860276227915693	0.4591184760029963	971	1.0	0.09143996238708496	0.09853792190551758
RefineAndMine	0.22860276227915693	0.454692475081973	1125	1.0	0.1013190746307373	0.09853792190551758
RefineAndMine	0.22860276227915693	0.4540380248201929	1214	1.0	0.11011695861816406	0.09853792190551758
RefineAndMine	0.22860276227915693	0.4540380248201929	1304	1.0	0.11749887466430664	0.09853792190551758
RefineAndMine	0.22860276227915693	0.4453043626064563	1489	1.0	0.12891769409179688	0.09853792190551758
RefineAndMine	0.22860276227915693	0.43661047634294475	1734	1.0	0.1419987678527832	0.09853792190551758
RefineAndMine	0.23561617640955101	0.41380403352840844	1998	1.0	0.1573958396911621	0.09853792190551758
RefineAndMine	0.23561617640955101	0.4062540146533613	2224	1.0	0.17856574058532715	0.09853792190551758
RefineAndMine	0.23561617640955101	0.4035109564213701	2444	1.0	0.19107866287231445	0.09853792190551758
RefineAndMine	0.23561617640955101	0.4031334554776177	2691	1.0	0.20564651489257812	0.09853792190551758
RefineAndMine	0.23561617640955101	0.40084374425595753	2979	1.0	0.22159743309020996	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3560701064710776	3373	1.0	0.24095749855041504	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3512705574957654	3809	1.0	0.26293039321899414	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3512705574957654	4062	1.0	0.2787594795227051	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3512705574957654	4237	1.0	0.2880845069885254	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3465624190892938	4732	1.0	0.3115236759185791	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3465624190892938	4918	1.0	0.32140469551086426	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3465624190892938	5109	1.0	0.3322458267211914	0.09853792190551758
RefineAndMine	0.23561617640955101	0.34295812506546974	5690	1.0	0.3588557243347168	0.09853792190551758
RefineAndMine	0.23561617640955101	0.34295812506546974	5892	1.0	0.3684546947479248	0.09853792190551758
RefineAndMine	0.23561617640955101	0.34295812506546974	6001	1.0	0.3779776096343994	0.09853792190551758
RefineAndMine	0.23561617640955101	0.34182562223421264	6377	1.0	0.3977475166320801	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3387744856796697	7154	1.0	0.42589664459228516	0.09853792190551758
RefineAndMine	0.23561617640955101	0.33263218956476714	7722	1.0	0.45476865768432617	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3274568690348428	8356	1.0	0.48491668701171875	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3274568690348428	8901	1.0	0.5094027519226074	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3273563174091182	9394	1.0	0.537686824798584	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3273563174091182	10050	1.0	0.5636074542999268	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3273563174091182	10536	1.0	0.5908224582672119	0.09853792190551758
RefineAndMine	0.23561617640955101	0.3272557657833935	10919	1.0	0.6094527244567871	0.09853792190551758
RefineAndMine	0.23597119529448046	0.3232596415915123	11665	1.0	0.6433835029602051	0.09853792190551758
RefineAndMine	0.23597119529448046	0.3123121142226939	12960	1.0	0.7001314163208008	0.09853792190551758
RefineAndMine	0.23952508997764643	0.30684600926162003	14426	1.0	0.7601735591888428	0.09853792190551758
RefineAndMine	0.23952508997764643	0.30420350265535356	15777	1.0	0.813002347946167	0.09853792190551758
RefineAndMine	0.23972619322909572	0.30354905239357344	16836	1.0	0.8476355075836182	0.09853792190551758
RefineAndMine	0.23972619322909572	0.3034961824970007	17869	1.0	0.8878185749053955	0.09853792190551758
RefineAndMine	0.23972619322909572	0.29115649687029976	19037	1.0	0.9380426406860352	0.09853792190551758
RefineAndMine	0.23972619322909572	0.28929320359950117	20984	1.0	1.0191185474395752	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2848170503934113	23108	1.0	1.0974814891815186	0.09853792190551758
RefineAndMine	0.23972619322909572	0.28471649876768673	24178	1.0	1.142587423324585	0.09853792190551758
RefineAndMine	0.23972619322909572	0.284391867720507	25548	1.0	1.214045524597168	0.09853792190551758
RefineAndMine	0.23972619322909572	0.284391867720507	25954	1.0	1.2271034717559814	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2837517466830316	27313	1.0	1.311401128768921	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2822832482473876	28808	1.0	1.3725471496582031	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2816287979856076	28809	1.0	1.3852803707122803	0.09853792190551758
RefineAndMine	0.23972619322909572	0.28146203546137133	29678	1.0	1.425199270248413	0.09853792190551758
RefineAndMine	0.23972619322909572	0.28146203546137133	31840	1.0	1.5220870971679688	0.09853792190551758
RefineAndMine	0.23972619322909572	0.28146203546137133	34531	1.0	1.6025540828704834	0.09853792190551758
RefineAndMine	0.23972619322909572	0.28039574352862584	36563	1.0	1.6848139762878418	0.09853792190551758
RefineAndMine	0.23972619322909572	0.28039574352862584	38497	1.0	1.754349946975708	0.09853792190551758
RefineAndMine	0.23972619322909572	0.28039574352862584	40426	1.0	1.8217978477478027	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2748745451706562	43254	1.0	1.934964656829834	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2730030990653393	45902	1.0	2.0522196292877197	0.09853792190551758
RefineAndMine	0.23972619322909572	0.26701200097241085	48341	1.0	2.1457138061523438	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2657673349026305	51280	1.0	2.256011724472046	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2652077539879713	53887	1.0	2.3589608669281006	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2648922639976757	58016	1.0	2.5188918113708496	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2646664551870804	61635	1.0	2.6616435050964355	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2643136598024742	64810	1.0	2.7828516960144043	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2633041906557646	68416	1.0	2.9115657806396484	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2627255864605631	71067	1.0	3.010317802429199	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2607805177889908	75102	1.0	3.1781184673309326	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2601772080346431	78540	1.0	3.3011674880981445	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2591608213313727	82596	1.0	3.4285717010498047	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2552701898770454	87501	1.0	3.61214280128479	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2546174690044055	91505	1.0	3.7285068035125732	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2500605286199079	96092	1.0	3.901232957839966	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2486194533549161	100613	1.0	4.06725811958313	0.09853792190551758
RefineAndMine	0.23972619322909572	0.24782096968331424	105361	1.0	4.238842248916626	0.09853792190551758
RefineAndMine	0.23972619322909572	0.24219007864273578	110900	1.0	4.36889910697937	0.09853792190551758
RefineAndMine	0.23972619322909572	0.2413505837429516	112745	1.0	4.43861722946167	0.09853792190551758
RefineAndMine	0.23972619322909572	0.23972619322909572	117354	1.0	4.611438274383545	0.09853792190551758
RefineAndMine	0.23972619322909572	0.23972619322909572	120535	1.0	4.649821519851685	0.09853792190551758
RefineAndMine	0.23972619322909572	0.23972619322909572	121025	1.0	4.657484531402588	0.09853792190551758
RefineAndMine	0.23972619322909572	0.23972619322909572	125120	1.0	4.705817699432373	0.09853792190551758
RefineAndMine	0.23972619322909572	0.23972619322909572	127103	1.0	4.731005430221558	0.09853792190551758
