method	quality	guarantee	nb_patterns	crispiness	timespent	timeInitialize
CbO	0.3960493827160494	-1	250980	0.0	3.071711778640747	0.004372119903564453
RefineAndMine	0.25234567901234567	0.9698765432098765	505	1.0	0.012217044830322266	0.004372119903564453
RefineAndMine	0.25234567901234567	0.9698765432098765	662	1.0	0.017611026763916016	0.004372119903564453
RefineAndMine	0.25234567901234567	0.9609876543209876	938	1.0	0.024534225463867188	0.004372119903564453
RefineAndMine	0.2587654320987654	0.9609876543209876	1163	1.0	0.03241109848022461	0.004372119903564453
RefineAndMine	0.2587654320987654	0.9387654320987654	1454	1.0	0.04261350631713867	0.004372119903564453
RefineAndMine	0.2622222222222222	0.9209876543209876	1549	1.0	0.04933738708496094	0.004372119903564453
RefineAndMine	0.2622222222222222	0.9209876543209876	1884	1.0	0.06277132034301758	0.004372119903564453
RefineAndMine	0.2622222222222222	0.9120987654320987	2379	1.0	0.08144116401672363	0.004372119903564453
RefineAndMine	0.38074074074074077	0.785679012345679	3443	1.0	0.12556219100952148	0.004372119903564453
RefineAndMine	0.38074074074074077	0.6558024691358024	4525	1.0	0.1813819408416748	0.004372119903564453
RefineAndMine	0.38074074074074077	0.6558024691358024	5235	1.0	0.19955778121948242	0.004372119903564453
RefineAndMine	0.38074074074074077	0.6419753086419753	6314	1.0	0.2426896095275879	0.004372119903564453
RefineAndMine	0.38074074074074077	0.6207407407407408	7648	1.0	0.2913076877593994	0.004372119903564453
RefineAndMine	0.3960493827160494	0.5930864197530864	9102	1.0	0.35059571266174316	0.004372119903564453
RefineAndMine	0.3960493827160494	0.5812345679012345	10666	1.0	0.4311385154724121	0.004372119903564453
RefineAndMine	0.3960493827160494	0.5807407407407408	11751	1.0	0.4627382755279541	0.004372119903564453
RefineAndMine	0.3960493827160494	0.5204938271604939	14353	1.0	0.5684163570404053	0.004372119903564453
RefineAndMine	0.3960493827160494	0.4972839506172839	18367	1.0	0.7213726043701172	0.004372119903564453
RefineAndMine	0.3960493827160494	0.44493827160493826	20955	1.0	0.8323764801025391	0.004372119903564453
RefineAndMine	0.3960493827160494	0.4414814814814815	23280	1.0	0.9265246391296387	0.004372119903564453
RefineAndMine	0.3960493827160494	0.4345679012345679	25270	1.0	0.9890027046203613	0.004372119903564453
RefineAndMine	0.3960493827160494	0.43209876543209874	30071	1.0	1.1512277126312256	0.004372119903564453
RefineAndMine	0.3960493827160494	0.4301234567901234	34543	1.0	1.3546576499938965	0.004372119903564453
RefineAndMine	0.3960493827160494	0.42123456790123454	39241	1.0	1.5394539833068848	0.004372119903564453
RefineAndMine	0.3960493827160494	0.4202469135802469	42430	1.0	1.679405927658081	0.004372119903564453
RefineAndMine	0.3960493827160494	0.4182716049382716	46670	1.0	1.827021837234497	0.004372119903564453
RefineAndMine	0.3960493827160494	0.4138271604938272	50488	1.0	1.9993877410888672	0.004372119903564453
