method	quality	guarantee	nb_patterns	crispiness	timespent	timeInitialize
CbO	0.2790006501346708	-1	9142597	0.0	110.84466314315796	0.41078996658325195
RefineAndMine	0.26098263211665274	0.9420451379214265	498	1.0	0.012835979461669922	0.41078996658325195
RefineAndMine	0.26609083310114234	0.9330361289124176	710	1.0	0.01807689666748047	0.41078996658325195
RefineAndMine	0.26609083310114234	0.8970000928763815	902	1.0	0.02367687225341797	0.41078996658325195
RefineAndMine	0.26609083310114234	0.8249280208043095	1178	1.0	0.03166365623474121	0.41078996658325195
RefineAndMine	0.26999164112566176	0.8159190117953005	1484	1.0	0.03976869583129883	0.41078996658325195
RefineAndMine	0.26999164112566176	0.8145258660722577	1802	1.0	0.04980969429016113	0.41078996658325195
RefineAndMine	0.26999164112566176	0.8145258660722577	2006	1.0	0.054555654525756836	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7874988390452308	2269	1.0	0.0657815933227539	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7731958762886598	2616	1.0	0.0774085521697998	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7731958762886598	2932	1.0	0.09149837493896484	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7731958762886598	3643	1.0	0.11920332908630371	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7731958762886598	4024	1.0	0.13396835327148438	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7731958762886598	4799	1.0	0.1617884635925293	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7731958762886598	5425	1.0	0.1836073398590088	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7216494845360825	7044	1.0	0.2418673038482666	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7216494845360825	8602	1.0	0.29703426361083984	0.41078996658325195
RefineAndMine	0.26999164112566176	0.7216494845360825	10866	1.0	0.387127161026001	0.41078996658325195
RefineAndMine	0.26999164112566176	0.6044394910374292	14144	1.0	0.502047061920166	0.41078996658325195
RefineAndMine	0.26999164112566176	0.5775053403919383	16687	1.0	0.5937399864196777	0.41078996658325195
RefineAndMine	0.2790006501346708	0.5775053403919383	20182	1.0	0.6815507411956787	0.41078996658325195
RefineAndMine	0.2790006501346708	0.5594873223739203	23970	1.0	0.8205516338348389	0.41078996658325195
