method	quality	guarantee	nb_patterns	timespent_full	timeInitialize	timespent	timePostProcessing	recall	size_pattern_set
CbO	0.05561498840309598	-1	586349	31.502840042114258	0.14726996421813965	7.8041441440582275	23.55142593383789	1.0	10
MCTS4DM	0.051503356187070255	-1	10	0.228	0	0.228	0	0.2828864477650983	10
MCTS4DM	0.050580120315264314	-1	10	0.299	0	0.299	0	0.32450902882164184	10
MCTS4DM	0.05278756421684947	-1	10	0.554	0	0.554	0	0.3079330577030269	10
MCTS4DM	0.05472161383556188	-1	10	0.894	0	0.894	0	0.34514687257017806	10
MCTS4DM	0.052494969287276025	-1	10	1.893	0	1.893	0	0.33754365015354343	10
MCTS4DM	0.054423287369659845	-1	10	3.1310000000000002	0	3.1310000000000002	0	0.34616625740039747	10
MCTS4DM	0.05419494296232966	-1	10	6.422	0	6.422	0	0.37671457083587784	10
MCTS4DM	0.05524134954983654	-1	10	12.665000000000001	0	12.665000000000001	0	0.37212940128002836	10
MCTS4DM	0.05532892742493709	-1	10	18.339	0	18.339	0	0.3807552974057413	10
MCTS4DM	0.055305600072079825	-1	10	26.818	0	26.818	0	0.38291279991818195	10
MCTS4DM	0.055305600072079825	-1	10	32.648	0	32.648	0	0.4120739829063419	10
MCTS4DM	0.05541650530003762	-1	10	51.714	0	51.714	0	0.3835896871073936	10
MCTS4DM	0.055282272719222536	-1	10	68.831	0	68.831	0	0.3837149694956239	10
MCTS4DM	0.055305600072079825	-1	10	231.228	0	231.228	0	0.3823481604887057	10
RefineAndMine	0.05224077565110394	0.18978549667974964	57	0.11783099174499512	0.09931707382202148	0.0160830020904541	0.0024309158325195312	0.25540151983407117	6
RefineAndMine	0.05224077565110394	0.18765989911693645	80	0.12686991691589355	0.09931707382202148	0.021950721740722656	0.005602121353149414	0.4012593837000207	9
RefineAndMine	0.05303442148652092	0.18523144717452164	118	0.13583922386169434	0.09931707382202148	0.028620004653930664	0.007902145385742188	0.4300356944331809	9
RefineAndMine	0.05303442148652092	0.18523144717452164	146	0.1425762176513672	0.09931707382202148	0.0342409610748291	0.009018182754516602	0.43006724761622017	9
RefineAndMine	0.05303442148652092	0.16134601462493198	195	0.1533050537109375	0.09931707382202148	0.04204988479614258	0.011938095092773438	0.430162174943412	10
RefineAndMine	0.05303442148652092	0.12852339747820424	250	0.16453075408935547	0.09931707382202148	0.05005073547363281	0.015162944793701172	0.430162174943412	10
RefineAndMine	0.05303442148652092	0.12475754884888107	307	0.17797279357910156	0.09931707382202148	0.05984067916870117	0.018815040588378906	0.46578595101481757	10
RefineAndMine	0.05303442148652092	0.11205875695930304	379	0.19279837608337402	0.09931707382202148	0.06922650337219238	0.024254798889160156	0.46578595101481757	10
RefineAndMine	0.05303442148652092	0.11205875695930304	406	0.19861197471618652	0.09931707382202148	0.0742337703704834	0.02506113052368164	0.46578595101481757	10
RefineAndMine	0.05303442148652092	0.11205875695930304	434	0.20342707633972168	0.09931707382202148	0.07901501655578613	0.025094985961914062	0.46578595101481757	10
RefineAndMine	0.05303442148652092	0.11205875695930304	463	0.207916259765625	0.09931707382202148	0.08375024795532227	0.02484893798828125	0.46578595101481757	10
RefineAndMine	0.05303442148652092	0.10960657645648796	545	0.224503755569458	0.09931707382202148	0.09504556655883789	0.030141115188598633	0.46578595101481757	10
RefineAndMine	0.05303442148652092	0.1074316303658858	661	0.245466947555542	0.09931707382202148	0.10796785354614258	0.03818202018737793	0.46578595101481757	10
RefineAndMine	0.05303442148652092	0.10523031920817219	792	0.26441287994384766	0.09931707382202148	0.12176871299743652	0.04332709312438965	0.5128532955234396	10
RefineAndMine	0.05303442148652092	0.10523031920817219	830	0.271914005279541	0.09931707382202148	0.12727594375610352	0.045320987701416016	0.5128532955234396	10
RefineAndMine	0.05303442148652092	0.10321339157414866	998	0.2956240177154541	0.09931707382202148	0.14362192153930664	0.05268502235412598	0.5206707267453466	10
RefineAndMine	0.05303442148652092	0.10246955278942696	1180	0.31969690322875977	0.09931707382202148	0.16004085540771484	0.06033897399902344	0.5206707267453466	10
RefineAndMine	0.05466149001947519	0.10001777349415487	1344	0.3423628807067871	0.09931707382202148	0.1756448745727539	0.06740093231201172	0.5866508589181325	10
RefineAndMine	0.05466149001947519	0.09879168324274736	1485	0.3662428855895996	0.09931707382202148	0.19028091430664062	0.0766448974609375	0.5866508589181325	10
RefineAndMine	0.05466149001947519	0.09477387627642031	1724	0.4057927131652832	0.09931707382202148	0.2189476490020752	0.08752799034118652	0.5866508589181325	10
RefineAndMine	0.05466149001947519	0.09468629840131976	1929	0.4338655471801758	0.09931707382202148	0.23768162727355957	0.09686684608459473	0.5866508589181325	10
RefineAndMine	0.05466149001947519	0.09468629840131976	2158	0.462566614151001	0.09931707382202148	0.2567574977874756	0.1064920425415039	0.5866508589181325	10
RefineAndMine	0.05466149001947519	0.09424840902581708	2335	0.4916806221008301	0.09931707382202148	0.27540159225463867	0.11696195602416992	0.5866508589181325	10
RefineAndMine	0.05466149001947519	0.09422508167295977	2505	0.5188455581665039	0.09931707382202148	0.2917165756225586	0.12781190872192383	0.5866508589181325	10
RefineAndMine	0.05466149001947519	0.09241099310960432	2879	0.5747356414794922	0.09931707382202148	0.3236865997314453	0.1517319679260254	0.5866508589181325	10
RefineAndMine	0.05466149001947519	0.091792216447572	3174	0.6122560501098633	0.09931707382202148	0.35036182403564453	0.16257715225219727	0.6196440312181875	10
RefineAndMine	0.05466149001947519	0.091792216447572	3595	0.6729488372802734	0.09931707382202148	0.3851017951965332	0.18852996826171875	0.6196440312181875	10
RefineAndMine	0.05466149001947519	0.08570205789092415	4031	0.7404749393463135	0.09931707382202148	0.4217498302459717	0.2194080352783203	0.6246728305092819	10
RefineAndMine	0.05466149001947519	0.08460979901278871	4446	0.795717716217041	0.09931707382202148	0.45717477798461914	0.2392258644104004	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.0815388418479413	4981	0.857576847076416	0.09931707382202148	0.49452781677246094	0.2637319564819336	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.08109189664503949	5602	0.9444615840911865	0.09931707382202148	0.5432276725769043	0.30191683769226074	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.08109189664503949	6061	1.0171358585357666	0.09931707382202148	0.5830848217010498	0.3347339630126953	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.07924553953215417	6451	1.0603182315826416	0.09931707382202148	0.6147780418395996	0.3462231159210205	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.07711994196934098	7061	1.1420660018920898	0.09931707382202148	0.6640689373016357	0.3786799907684326	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.0756159295213611	7769	1.2393798828125	0.09931707382202148	0.7190759181976318	0.4209868907928467	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.0756159295213611	8019	1.2713088989257812	0.09931707382202148	0.7446517944335938	0.427340030670166	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.07419095495935223	8652	1.362287998199463	0.09931707382202148	0.7963860034942627	0.4665849208831787	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.07299031272924353	9344	1.4498569965362549	0.09931707382202148	0.8541228771209717	0.4964170455932617	0.6292049835099838	10
RefineAndMine	0.05466149001947519	0.07279182962618519	9926	1.5292468070983887	0.09931707382202148	0.9008135795593262	0.529116153717041	0.6292049835099838	10
RefineAndMine	0.054743852196516736	0.07184142627218182	10686	1.63454270362854	0.09931707382202148	0.9584126472473145	0.5768129825592041	0.633332620208266	10
RefineAndMine	0.054743852196516736	0.07181809891932456	11208	1.6953215599060059	0.09931707382202148	0.9963774681091309	0.5996270179748535	0.633332620208266	10
RefineAndMine	0.05479050690223128	0.07166627052198075	11984	1.7994976043701172	0.09931707382202148	1.0510845184326172	0.6490960121154785	0.633332620208266	10
RefineAndMine	0.05479050690223128	0.07165400503423759	12746	1.9056577682495117	0.09931707382202148	1.109426736831665	0.6969139575958252	0.633332620208266	10
RefineAndMine	0.05561498840309598	0.07040922997439893	13808	2.0233707427978516	0.09931707382202148	1.191286563873291	0.7327671051025391	0.6410611668814479	10
RefineAndMine	0.05561498840309598	0.06754649952436845	14850	2.16001033782959	0.09931707382202148	1.268531322479248	0.7921619415283203	0.6499970709981754	10
RefineAndMine	0.05561498840309598	0.06752317217151117	15681	2.279602289199829	0.09931707382202148	1.3338441848754883	0.8464410305023193	0.6499970709981754	10
RefineAndMine	0.05561498840309598	0.06752317217151117	16420	2.3514163494110107	0.09931707382202148	1.3876302242279053	0.864469051361084	0.6499970709981754	10
RefineAndMine	0.05561498840309598	0.06709089970161047	17838	2.54215145111084	0.09931707382202148	1.4938123226165771	0.9490220546722412	0.6572775324076763	10
RefineAndMine	0.05561498840309598	0.06607578730245757	19780	2.737220287322998	0.09931707382202148	1.6169171333312988	1.0209860801696777	0.6572775324076763	10
