method	quality	guarantee	nb_patterns	timespent_full	timeInitialize	timespent	timePostProcessing	recall	size_pattern_set
CbO	0.06458132108143856	-1	10236419	164.9308478832245	0.09036111831665039	125.82787370681763	39.01261305809021	1.0	10
MCTS4DM	0.04262275824261886	-1	10	0.154	0	0.154	0	0.2173407884586036	10
MCTS4DM	0.04451536272743882	-1	10	0.156	0	0.156	0	0.2925593794339402	10
MCTS4DM	0.04493304095857153	-1	10	0.312	0	0.312	0	0.31312597833199385	10
MCTS4DM	0.04395845841926195	-1	10	0.375	0	0.375	0	0.33024349528250474	10
MCTS4DM	0.04893579067359314	-1	10	0.659	0	0.659	0	0.34477642933215286	10
MCTS4DM	0.04840716666231584	-1	10	1.172	0	1.172	0	0.32065200416630163	10
MCTS4DM	0.047993839246090804	-1	10	2.125	0	2.125	0	0.3095108986229925	10
MCTS4DM	0.0504107169272805	-1	10	4.104	0	4.104	0	0.34056993442746675	10
MCTS4DM	0.051078567015602046	-1	10	6.535	0	6.535	0	0.3358228614039823	10
MCTS4DM	0.04912940193698279	-1	10	8.808	0	8.808	0	0.3372826115986111	10
MCTS4DM	0.04876828429964931	-1	10	11.515	0	11.515	0	0.36026910315178257	10
MCTS4DM	0.05155063043308012	-1	10	20.521	0	20.521	0	0.34329458298727383	10
MCTS4DM	0.05088278034475858	-1	10	29.221	0	29.221	0	0.34691858153886035	10
MCTS4DM	0.05088278034475858	-1	10	130.4	0	130.4	0	0.3459161966113232	10
MCTS4DM	0.05049120700307167	-1	10	1108.386	0	1108.386	0	0.3581013909021851	10
RefineAndMine	0.05130263398334508	0.20258699454407808	84	0.04351091384887695	0.03815102577209473	0.003846883773803711	0.0015130043029785156	0.33387391582312625	7
RefineAndMine	0.05130263398334508	0.18581677848260977	122	0.0474400520324707	0.03815102577209473	0.006067991256713867	0.0032210350036621094	0.33724364734835166	9
RefineAndMine	0.05130263398334508	0.1793645199745912	186	0.05204415321350098	0.03815102577209473	0.00931096076965332	0.00458216667175293	0.3550185079270326	10
RefineAndMine	0.05130263398334508	0.1720660279670382	255	0.05764412879943848	0.03815102577209473	0.012674093246459961	0.006819009780883789	0.40254698125324584	10
RefineAndMine	0.05130263398334508	0.15499995649185092	347	0.06202411651611328	0.03815102577209473	0.016618013381958008	0.007255077362060547	0.40254698125324584	10
RefineAndMine	0.05130263398334508	0.1544843849252965	432	0.06900310516357422	0.03815102577209473	0.021008014678955078	0.009844064712524414	0.40254698125324584	10
RefineAndMine	0.05130263398334508	0.14372046884381443	599	0.07776808738708496	0.03815102577209473	0.028536081314086914	0.01108098030090332	0.4599208181486413	10
RefineAndMine	0.051387474874043895	0.1350949782894336	775	0.08423972129821777	0.03815102577209473	0.0352177619934082	0.010870933532714844	0.5077221897710397	10
RefineAndMine	0.059506095491685576	0.1297869841021223	965	0.0992741584777832	0.03815102577209473	0.043335914611816406	0.01778721809387207	0.5379199791809938	10
RefineAndMine	0.059506095491685576	0.12941498942751975	1139	0.10322284698486328	0.03815102577209473	0.05061173439025879	0.014460086822509766	0.5379199791809938	10
RefineAndMine	0.059506095491685576	0.12941498942751975	1328	0.11519694328308105	0.03815102577209473	0.05989575386047363	0.017150163650512695	0.5484187820540984	10
RefineAndMine	0.059506095491685576	0.12875149015410586	1558	0.1284637451171875	0.03815102577209473	0.06984972953796387	0.020462989807128906	0.5484187820540984	10
RefineAndMine	0.059506095491685576	0.12381113982648947	1960	0.15363860130310059	0.03815102577209473	0.08764171600341797	0.02784585952758789	0.5486824189883774	10
RefineAndMine	0.059506095491685576	0.12329556825993505	2231	0.1671767234802246	0.03815102577209473	0.0987086296081543	0.030317068099975586	0.5486824189883774	10
RefineAndMine	0.059506095491685576	0.12263206898652114	2636	0.1920619010925293	0.03815102577209473	0.11859488487243652	0.03531599044799805	0.5486824189883774	10
RefineAndMine	0.059506095491685576	0.11927976610019056	3191	0.21887588500976562	0.03815102577209473	0.14223790168762207	0.03848695755004883	0.5486824189883774	10
RefineAndMine	0.059506095491685576	0.1070039418383063	3767	0.24457812309265137	0.03815102577209473	0.16421198844909668	0.04221510887145996	0.5486824189883774	10
RefineAndMine	0.059506095491685576	0.10513961765038592	4392	0.2845268249511719	0.03815102577209473	0.19453692436218262	0.05183887481689453	0.5486824189883774	10
RefineAndMine	0.06185553554180697	0.08921563508845205	5036	0.313370943069458	0.03815102577209473	0.22158193588256836	0.05363798141479492	0.5710969895840416	10
RefineAndMine	0.06185553554180697	0.0890590057517773	5673	0.34584856033325195	0.03815102577209473	0.2503316402435303	0.05736589431762695	0.6223937851319208	10
RefineAndMine	0.06185553554180697	0.08699671948555962	6435	0.3782825469970703	0.03815102577209473	0.2795405387878418	0.06059098243713379	0.6705621720981221	10
RefineAndMine	0.06185553554180697	0.08663777725567999	7349	0.4278247356414795	0.03815102577209473	0.3194136619567871	0.07026004791259766	0.6705621720981221	10
RefineAndMine	0.06185553554180697	0.08656163799479642	7991	0.4653785228729248	0.03815102577209473	0.34784746170043945	0.07938003540039062	0.6705621720981221	10
RefineAndMine	0.06185553554180697	0.0830875122910521	9055	0.5344696044921875	0.03815102577209473	0.4011216163635254	0.09519696235656738	0.6705621720981221	10
RefineAndMine	0.06185553554180697	0.08258064235431295	9865	0.57900071144104	0.03815102577209473	0.43024754524230957	0.11060214042663574	0.6705621720981221	10
RefineAndMine	0.06185553554180697	0.0811426980273405	10559	0.6178534030914307	0.03815102577209473	0.4618663787841797	0.11783599853515625	0.6705621720981221	10
RefineAndMine	0.06185553554180697	0.0811426980273405	11248	0.6549887657165527	0.03815102577209473	0.4929325580596924	0.12390518188476562	0.6705621720981221	10
