method	quality	guarantee	nb_patterns	timespent_full	timeInitialize	timespent	timePostProcessing	recall	size_pattern_set
CbO	0.04123414071510958	-1	12545	0.23923611640930176	0.027364015579223633	0.1575942039489746	0.054277896881103516	1.0	10
MCTS4DM	0.041234140715109564	-1	10	0.14300000000000002	0	0.14300000000000002	0	0.630495422205276	10
MCTS4DM	0.041234140715109564	-1	10	0.296	0	0.296	0	0.6950589855709385	10
MCTS4DM	0.041234140715109564	-1	10	0.34500000000000003	0	0.34500000000000003	0	0.5965293424379075	10
MCTS4DM	0.027681660899653977	-1	10	0.36	0	0.36	0	0.4715809263503111	10
MCTS4DM	0.041234140715109564	-1	10	0.423	0	0.423	0	0.722001294703928	10
MCTS4DM	0.031141868512110725	-1	10	0.737	0	0.737	0	0.37840440770187417	10
MCTS4DM	0.041234140715109564	-1	10	0.833	0	0.833	0	0.786652080119822	10
MCTS4DM	0.041234140715109564	-1	10	1.288	0	1.288	0	0.7167467822936815	10
MCTS4DM	0.041234140715109564	-1	10	1.961	0	1.961	0	0.7899649649649648	10
MCTS4DM	0.041234140715109564	-1	10	2.353	0	2.353	0	0.78619644723093	10
MCTS4DM	0.041234140715109564	-1	10	2.978	0	2.978	0	0.8784819506540817	10
MCTS4DM	0.041234140715109564	-1	10	3.557	0	3.557	0	1.0	10
MCTS4DM	0.041234140715109564	-1	10	3.608	0	3.608	0	1.0	10
RefineAndMine	0.01566705113417916	0.1525374855824683	98	0.00759434700012207	0.0030472278594970703	0.003426074981689453	0.0011210441589355469	0.28761578020202383	6
RefineAndMine	0.01855055747789312	0.1404267589388697	146	0.011583328247070312	0.0030472278594970703	0.005484104156494141	0.0030519962310791016	0.3605491207251739	10
RefineAndMine	0.01855055747789312	0.1387927720107651	194	0.01454305648803711	0.0030472278594970703	0.008149862289428711	0.003345966339111328	0.3605491207251739	10
RefineAndMine	0.029892349096501358	0.12764321414840446	287	0.019354820251464844	0.0030472278594970703	0.011900663375854492	0.004406929016113281	0.4095534628453903	10
RefineAndMine	0.029892349096501358	0.12447135717031911	381	0.02404308319091797	0.0030472278594970703	0.016417980194091797	0.0045778751373291016	0.4511872149508406	10
RefineAndMine	0.029892349096501358	0.11591695501730105	508	0.031386375427246094	0.0030472278594970703	0.022875070571899414	0.005464076995849609	0.4877305822977793	10
RefineAndMine	0.029892349096501358	0.10957324106113035	642	0.038483381271362305	0.0030472278594970703	0.030018091201782227	0.005418062210083008	0.5471750267422237	10
RefineAndMine	0.029892349096501358	0.10813148788927336	826	0.048848867416381836	0.0030472278594970703	0.040741682052612305	0.005059957504272461	0.5570235115907086	10
RefineAndMine	0.03758169934640522	0.09323337178008459	1026	0.06316804885864258	0.0030472278594970703	0.05393075942993164	0.006190061569213867	0.6534085440500311	10
RefineAndMine	0.03758169934640522	0.08112264513648597	1290	0.08085203170776367	0.0030472278594970703	0.06847262382507324	0.00933218002319336	0.743103116355363	10
RefineAndMine	0.03758169934640522	0.07458669742406766	1597	0.10069966316223145	0.0030472278594970703	0.0862734317779541	0.011379003524780273	0.7766282410197282	10
RefineAndMine	0.03758169934640522	0.06920415224913495	1914	0.1213676929473877	0.0030472278594970703	0.10726046562194824	0.011059999465942383	0.7766282410197282	10
RefineAndMine	0.03758169934640522	0.06689734717416378	2266	0.14613771438598633	0.0030472278594970703	0.13091039657592773	0.012180089950561523	0.7766282410197282	10
RefineAndMine	0.03758169934640522	0.06439830834294503	2612	0.17291474342346191	0.0030472278594970703	0.156280517578125	0.013586997985839844	0.7766282410197282	10
RefineAndMine	0.03758169934640522	0.06247597078046905	3033	0.1907970905303955	0.0030472278594970703	0.17439675331115723	0.013353109359741211	0.7766282410197282	10
RefineAndMine	0.03758169934640522	0.06247597078046905	3431	0.21065473556518555	0.0030472278594970703	0.19073152542114258	0.0168759822845459	0.8252831496234858	10
RefineAndMine	0.03758169934640522	0.06247597078046905	3771	0.23771286010742188	0.0030472278594970703	0.21565866470336914	0.019006967544555664	0.8252831496234858	10
RefineAndMine	0.03758169934640522	0.06247597078046905	3873	0.253969669342041	0.0030472278594970703	0.23150348663330078	0.019418954849243164	0.8252831496234858	10
RefineAndMine	0.03758169934640522	0.05911188004613611	4507	0.30406618118286133	0.0030472278594970703	0.27761197090148926	0.023406982421875	0.8252831496234858	10
RefineAndMine	0.03758169934640522	0.05757400999615532	5041	0.338604211807251	0.0030472278594970703	0.31162190437316895	0.02393507957458496	0.8252831496234858	10
RefineAndMine	0.03758169934640522	0.05690119184928873	5757	0.3841369152069092	0.0030472278594970703	0.35007476806640625	0.03101491928100586	0.8323176323821067	10
RefineAndMine	0.03758169934640522	0.050653594771241824	6337	0.4224741458892822	0.0030472278594970703	0.3814568519592285	0.03797006607055664	0.8323176323821067	10
RefineAndMine	0.04123414071510958	0.047481737793156474	6903	0.45925426483154297	0.0030472278594970703	0.40866899490356445	0.047538042068481445	0.8595875963117343	10
RefineAndMine	0.04123414071510958	0.04238754325259516	7585	0.4910314083099365	0.0030472278594970703	0.4428250789642334	0.045159101486206055	0.8595875963117343	10
RefineAndMine	0.04123414071510958	0.04238754325259515	7723	0.5064206123352051	0.0030472278594970703	0.4570462703704834	0.04632711410522461	0.8595875963117343	10
RefineAndMine	0.04123414071510958	0.04209919261822376	8399	0.5419442653656006	0.0030472278594970703	0.4897191524505615	0.04917788505554199	0.8595875963117343	10
RefineAndMine	0.04123414071510958	0.04123414071510958	8405	0.5506196022033691	0.0030472278594970703	0.49763035774230957	0.0499420166015625	0.8595875963117343	10
RefineAndMine	0.04123414071510958	0.04123414071510958	8408	0.549828290939331	0.0030472278594970703	0.4979579448699951	0.04882311820983887	0.8595875963117343	10
RefineAndMine	0.04123414071510958	0.04123414071510958	9086	0.567514181137085	0.0030472278594970703	0.5102589130401611	0.05420804023742676	0.8952197802197803	10
RefineAndMine	0.04123414071510958	0.04123414071510958	9775	0.5855445861816406	0.0030472278594970703	0.5230753421783447	0.05942201614379883	0.8952197802197803	10
RefineAndMine	0.04123414071510958	0.04123414071510958	10341	0.6015193462371826	0.0030472278594970703	0.5335390567779541	0.06493306159973145	0.8952197802197803	10
RefineAndMine	0.04123414071510958	0.04123414071510958	11058	0.6081564426422119	0.0030472278594970703	0.546593189239502	0.05851602554321289	0.9512275321577647	10
RefineAndMine	0.04123414071510958	0.04123414071510958	11706	0.6250126361846924	0.0030472278594970703	0.558814287185669	0.06315112113952637	0.9535531135531137	10
RefineAndMine	0.04123414071510958	0.04123414071510958	11930	0.6285464763641357	0.0030472278594970703	0.5626983642578125	0.06280088424682617	0.9535531135531137	10
RefineAndMine	0.04123414071510958	0.04123414071510958	12812	0.6485595703125	0.0030472278594970703	0.5790553092956543	0.06645703315734863	0.9535531135531137	10
RefineAndMine	0.04123414071510958	0.04123414071510958	13473	0.663888692855835	0.0030472278594970703	0.5913674831390381	0.0694739818572998	0.9535531135531137	10
RefineAndMine	0.04123414071510958	0.04123414071510958	13483	0.6644566059112549	0.0030472278594970703	0.5918674468994141	0.06954193115234375	0.9535531135531137	10
RefineAndMine	0.04123414071510958	0.04123414071510958	14096	0.6767656803131104	0.0030472278594970703	0.6028614044189453	0.07085704803466797	0.9535531135531137	10
RefineAndMine	0.04123414071510958	0.04123414071510958	14473	0.6837115287780762	0.0030472278594970703	0.6093904972076416	0.0712738037109375	0.9535531135531137	10
RefineAndMine	0.04123414071510958	0.04123414071510958	14909	0.6876237392425537	0.0030472278594970703	0.6177194118499756	0.06685709953308105	0.9635531135531135	10
RefineAndMine	0.04123414071510958	0.04123414071510958	15687	0.7018249034881592	0.0030472278594970703	0.6317574977874756	0.06702017784118652	1.0	10
RefineAndMine	0.04123414071510958	0.04123414071510958	16543	0.7188384532928467	0.0030472278594970703	0.6469342708587646	0.06885695457458496	1.0	10
RefineAndMine	0.04123414071510958	0.04123414071510958	17248	0.7343945503234863	0.0030472278594970703	0.6596324443817139	0.07171487808227539	1.0	10
RefineAndMine	0.04123414071510958	0.04123414071510958	17478	0.7382397651672363	0.0030472278594970703	0.6643035411834717	0.07088899612426758	1.0	10
