compression-ratio	horsepower	peak-rpm	city-mpg	highway-mpg
9.00	111	5000	21	27
9.00	111	5000	21	27
9.00	154	5000	19	26
10.00	102	5500	24	30
8.00	115	5500	18	22
8.50	110	5500	19	25
8.50	110	5500	19	25
8.50	110	5500	19	25
8.30	140	5500	17	20
7.00	160	5500	16	22
8.80	101	5800	23	29
8.80	101	5800	23	29
9.00	121	4250	21	28
9.00	121	4250	21	28
9.00	121	4250	20	25
8.00	182	5400	16	22
8.00	182	5400	16	22
8.00	182	5400	15	20
9.50	48	5100	47	53
9.60	70	5400	38	43
9.60	70	5400	38	43
9.41	68	5500	37	41
9.40	68	5500	31	38
7.60	102	5500	24	30
9.40	68	5500	31	38
9.40	68	5500	31	38
9.40	68	5500	31	38
7.60	102	5500	24	30
8.50	88	5000	24	30
7.00	145	5000	19	24
9.60	58	4800	49	54
9.20	76	6000	31	38
10.10	60	5500	38	42
9.20	76	6000	30	34
9.20	76	6000	30	34
9.20	76	6000	30	34
9.20	76	6000	30	34
9.00	86	5800	27	33
9.00	86	5800	27	33
9.00	86	5800	27	33
9.00	86	5800	27	33
9.00	101	5800	24	28
9.10	100	5500	25	31
8.50	78	4800	24	29
9.60	70	5400	38	43
9.60	70	5400	38	43
9.20	90	5000	24	29
8.10	176	4750	15	19
8.10	176	4750	15	19
11.50	262	5000	13	17
9.00	68	5000	30	31
9.00	68	5000	31	38
9.00	68	5000	31	38
9.00	68	5000	31	38
9.00	68	5000	31	38
9.40	101	6000	17	23
9.40	101	6000	17	23
9.40	101	6000	17	23
9.40	135	6000	16	23
8.60	84	4800	26	32
8.60	84	4800	26	32
8.60	84	4800	26	32
8.60	84	4800	26	32
22.70	64	4650	36	42
8.60	84	4800	26	32
8.00	120	5000	19	27
22.00	72	4200	31	39
21.50	123	4350	22	25
21.50	123	4350	22	25
21.50	123	4350	22	25
21.50	123	4350	22	25
8.30	155	4750	16	18
8.30	155	4750	16	18
8.00	184	4500	14	16
8.00	184	4500	14	16
8.00	175	5000	19	24
9.40	68	5500	37	41
9.40	68	5500	31	38
9.40	68	5500	31	38
7.60	102	5500	24	30
7.50	116	5500	23	30
8.50	88	5000	25	32
7.00	145	5000	19	24
7.00	145	5000	19	24
7.00	145	5000	19	24
8.50	88	5000	25	32
8.50	88	5000	25	32
7.50	116	5500	23	30
7.50	116	5500	23	30
9.40	69	5200	31	37
21.90	55	4800	45	50
9.40	69	5200	31	37
9.40	69	5200	31	37
9.40	69	5200	31	37
9.40	69	5200	31	37
9.40	69	5200	31	37
9.40	69	5200	31	37
9.40	69	5200	31	37
9.40	69	5200	31	37
8.50	97	5200	27	34
8.50	97	5200	27	34
9.00	152	5200	17	22
9.00	152	5200	17	22
9.00	152	5200	19	25
9.00	160	5200	19	25
7.80	200	5200	17	23
9.00	160	5200	19	25
8.40	97	5000	19	24
21.00	95	4150	28	33
8.40	97	5000	19	24
21.00	95	4150	25	25
8.40	95	5000	19	24
21.00	95	4150	28	33
8.40	95	5000	19	24
21.00	95	4150	25	25
8.40	97	5000	19	24
21.00	95	4150	28	33
7.00	142	5600	18	24
9.40	68	5500	37	41
7.60	102	5500	24	30
9.40	68	5500	31	38
9.40	68	5500	31	38
9.40	68	5500	31	38
8.50	88	5000	24	30
7.00	145	5000	19	24
9.50	143	5500	19	27
9.50	207	5900	17	25
9.50	207	5900	17	25
9.50	207	5900	17	25
10.00	288	5750	17	28
8.70	?	?	23	31
8.70	?	?	23	31
9.31	110	5250	21	28
9.30	110	5250	21	28
9.30	110	5250	21	28
9.30	110	5250	21	28
9.00	160	5500	19	26
9.00	160	5500	19	26
9.00	69	4900	31	36
8.70	73	4400	26	31
8.70	73	4400	26	31
9.50	82	4800	32	37
9.50	82	4400	28	33
9.00	94	5200	26	32
9.00	82	4800	24	25
7.70	111	4800	24	29
9.00	82	4800	28	32
9.00	94	5200	25	31
9.00	82	4800	23	29
7.70	111	4800	23	23
9.00	62	4800	35	39
9.00	62	4800	31	38
9.00	62	4800	31	38
9.00	62	4800	31	37
9.00	62	4800	27	32
9.00	62	4800	27	32
9.00	70	4800	30	37
9.00	70	4800	30	37
22.50	56	4500	34	36
22.50	56	4500	38	47
9.00	70	4800	38	47
9.00	70	4800	28	34
9.00	70	4800	28	34
9.00	70	4800	29	34
9.00	70	4800	29	34
9.40	112	6600	26	29
9.40	112	6600	26	29
9.30	116	4800	24	30
9.30	116	4800	24	30
9.30	116	4800	24	30
9.30	116	4800	24	30
9.30	116	4800	24	30
9.30	116	4800	24	30
8.70	92	4200	29	34
22.50	73	4500	30	33
8.70	92	4200	27	32
8.70	92	4200	27	32
8.70	92	4200	27	32
9.30	161	5200	20	24
9.30	161	5200	19	24
9.20	156	5200	20	24
9.20	156	5200	19	24
23.00	52	4800	37	46
9.00	85	5250	27	34
23.00	52	4800	37	46
9.00	85	5250	27	34
9.00	85	5250	27	34
23.00	68	4500	37	42
10.00	100	5500	26	32
8.50	90	5500	24	29
8.50	90	5500	24	29
8.50	110	5500	19	24
23.00	68	4500	33	38
9.00	88	5500	25	31
9.50	114	5400	23	28
9.50	114	5400	23	28
9.50	114	5400	24	28
9.50	114	5400	24	28
7.50	162	5100	17	22
7.50	162	5100	17	22
9.50	114	5400	23	28
8.70	160	5300	19	25
8.80	134	5500	18	23
23.00	106	4800	26	27
9.50	114	5400	19	25
